excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
475,exact_match,697792902e40cca8d4f8287c,The Creative Preschool Of East Toronto,Toronto-Danforth,Toronto,"16 Phin Ave, Toronto, ON M4J 3T2, Canada",The Creative Preschool Of East Toronto,Toronto-Danforth,Toronto,"16 Phin Ave, Toronto, ON M4J 3T2, Canada"
476,exact_match,6977928e2e40cca8d4f82466,The Giles School,Don Valley East,Toronto,"80 Scarsdale Rd, North York, ON M3B 2R7, Canada",The Giles School,Don Valley East,Toronto,"80 Scarsdale Rd, North York, ON M3B 2R7, Canada"
477,exact_match,6977928e2e40cca8d4f827b8,The Junior Academy,Don Valley West,Toronto,"2454 Bayview Ave, Toronto, ON M2L 1A6, Canada",The Junior Academy,Don Valley West,Toronto,"2454 Bayview Ave, Toronto, ON M2L 1A6, Canada"
478,exact_match,6977928e2e40cca8d4f82481,The Montessori Schoolhouse,Parkdale-High Park,Toronto,"290 Runnymede Rd, Toronto, ON M6S 2Y6, Canada",The Montessori Schoolhouse,Parkdale-High Park,Toronto,"290 Runnymede Rd, Toronto, ON M6S 2Y6, Canada"
479,exact_match,697792962e40cca8d4f82d40,The Munchkin Manor Daycare & Early Learning Centre,Willowdale,Toronto,"1087 Lillian St, North York, ON M2M 3G1, Canada",The Munchkin Manor Daycare & Early Learning Centre,Willowdale,Toronto,"1087 Lillian St, North York, ON M2M 3G1, Canada"
480,exact_match,6977928e2e40cca8d4f827b9,The Munchkin Manor Daycare & Early Learning Centre Inc.,Willowdale,Toronto,"1087 Lillian St, North York, ON M2M 3G1, Canada",The Munchkin Manor Daycare & Early Learning Centre Inc.,Willowdale,Toronto,"1087 Lillian St, North York, ON M2M 3G1, Canada"
481,exact_match,697792902e40cca8d4f8281d,The Toronto Cheder,Willowdale,Toronto,"475 Patricia Ave, North York, ON M2R 1Y8, Canada",The Toronto Cheder,Willowdale,Toronto,"475 Patricia Ave, North York, ON M2R 1Y8, Canada"
482,exact_match,697792902e40cca8d4f828bb,The Toronto Heschel School,York Centre,Toronto,"819 Sheppard Ave W, North York, ON M3H 2T3, Canada",The Toronto Heschel School,York Centre,Toronto,"819 Sheppard Ave W, North York, ON M3H 2T3, Canada"
483,exact_match,697792902e40cca8d4f828a8,Time For Play Nursery School,Parkdale-High Park,Toronto,"125 Evelyn Crescent, Toronto, ON M6P 3E8, Canada",Time For Play Nursery School,Parkdale-High Park,Toronto,"125 Evelyn Crescent, Toronto, ON M6P 3E8, Canada"
484,exact_match,6977928e2e40cca8d4f827bd,Tiny Bumblebees Childcare Inc.,Toronto-St. Paul's,Toronto,"47 Acacia Rd, Toronto, ON M4S 2K6, Canada",Tiny Bumblebees Childcare Inc.,Toronto-St. Paul's,Toronto,"47 Acacia Rd, Toronto, ON M4S 2K6, Canada"
485,exact_match,697792962e40cca8d4f82d99,Tiny Explorers Academy,Parkdale-High Park,Toronto,"402 Roncesvalles Ave, Toronto, ON M6R 2M9, Canada",Tiny Explorers Academy,Parkdale-High Park,Toronto,"402 Roncesvalles Ave, Toronto, ON M6R 2M9, Canada"
486,exact_match,697792962e40cca8d4f82d9a,Tiny Explorers Academy Inc,Toronto-St. Paul's,Toronto,"115 Merton St, Toronto, ON M4T 1V2, Canada",Tiny Explorers Academy Inc,Toronto-St. Paul's,Toronto,"115 Merton St, Toronto, ON M4T 1V2, Canada"
487,exact_match,697792962e40cca8d4f82d47,Tng Central Neighbourhood House,Toronto Centre,Toronto,"349 Ontario St, Toronto, ON M5A 2V8, Canada",Tng Central Neighbourhood House,Toronto Centre,Toronto,"349 Ontario St, Toronto, ON M5A 2V8, Canada"
