status,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
exact_match,Rippleton Roadsters Satellite Program,Don Valley West,Toronto,"1340 Leslie St, North York, ON M3C 2K9",Rippleton Roadsters Satellite Program,Don Valley West,Toronto,"1340 Leslie St, North York, ON M3C 2K9"
exact_match,Riverdale Learning Loft Inc.,Toronto-Danforth,Toronto,"433 Pape Ave, Toronto, ON M4K 3P3",Riverdale Learning Loft Inc.,Toronto-Danforth,Toronto,"433 Pape Ave, Toronto, ON M4K 3P3"
exact_match,Rolph Road Day Care,Don Valley West,Toronto,"31 Rolph Rd, East York, ON M4G 3M5",Rolph Road Day Care,Don Valley West,Toronto,"31 Rolph Rd, East York, ON M4G 3M5"
exact_match,Rolph Road - Leaside Day Care Centres (St. Anselm),Don Valley West,Toronto,"206 Laird Drive, # 100, Toronto, ON M4G 3W4",Rolph Road - Leaside Day Care Centres (St. Anselm),Don Valley West,Toronto,"206 Laird Drive, # 100, Toronto, ON M4G 3W4"
exact_match,Romero Bears Child Care Centre,York South-Weston,Toronto,"99 Humber Boulevard Toronto, ON M6N 2H4",Romero Bears Child Care Centre,York South-Weston,Toronto,"99 Humber Boulevard Toronto, ON M6N 2H4"
exact_match,Rosedale Moore Park Association/Mooredale Preschool - Coach House,University-Rosedale,Toronto,"146 Crescent Road, Toronto, ON, M4W 1V2",Rosedale Moore Park Association/Mooredale Preschool - Coach House,University-Rosedale,Toronto,"146 Crescent Road, Toronto, ON, M4W 1V2"
exact_match,Roseland Day Care Centre,York South-Weston,Toronto,"990 Jane Street,Toronto Ontario M6N 4E2",Roseland Day Care Centre,York South-Weston,Toronto,"990 Jane Street,Toronto Ontario M6N 4E2"
exact_match,Rosethorn Before And After School Program,Etobicoke Centre,Toronto,"2 Remington Drive, Toronto, ON M9A 2J1",Rosethorn Before And After School Program,Etobicoke Centre,Toronto,"2 Remington Drive, Toronto, ON M9A 2J1"
exact_match,Rouge Valley Jr YMCA,Scarborough-Rouge Park,Toronto,"30 Durnford Road, Scarborough, ON M1B 4X3",Rouge Valley Jr YMCA,Scarborough-Rouge Park,Toronto,"30 Durnford Road, Scarborough, ON M1B 4X3"
exact_match,Royal York Childcare Inc,Etobicoke-Lakeshore,Toronto,"74 Royal York Rd, Etobicoke, ON M8V 2T6",Royal York Childcare Inc,Etobicoke-Lakeshore,Toronto,"74 Royal York Rd, Etobicoke, ON M8V 2T6"
exact_match,Royal York Road School,Etobicoke-Lakeshore,Toronto,"851 Royal York Rd., Etobicoke, ON M8Y 2V3",Royal York Road School,Etobicoke-Lakeshore,Toronto,"851 Royal York Rd., Etobicoke, ON M8Y 2V3"
